iso3c,region_name,goal,future,pressures,resilience,score,status,trend,are_km2
EGY,Egypt,SP,62.45,NA,NA,62.84,63.24,-0.02,71940
JOR,Jordan,SP,30.19,NA,NA,30.09,30,0,97
SOM,Somalia,SPP,76.8,49.82,33.98,79.4,81.99,-0.02,128355
ERI,Eritrea,SPP,81.37,56.42,42.61,83.86,86.34,-0.02,78382
DJI,Djibouti,SPP,86.96,48.52,47.4,87.49,88.01,-0.01,7252
YEM,Yemen,SPP,76.77,53.53,36.09,79.66,82.55,-0.02,162280
SDN,Sudan,SPP,77.37,60.86,39.63,80.96,84.55,-0.02,63012
SAU,Saudi Arabia,SPP,83.4,55.23,67.76,84,84.6,-0.02,190642
ISR,Israel,SPP,61.93,43.26,69.79,63.06,64.18,-0.05,32
EGY,Egypt,SPP,72.18,49.37,62.66,73.13,74.07,-0.04,71940
JOR,Jordan,SPP,87.3,48.91,64.15,87.73,88.15,-0.01,97
SOM,Somalia,TR,NA,70.33,36.28,NA,NA,NA,128355
ERI,Eritrea,TR,NA,71.94,50.38,NA,NA,NA,78382
DJI,Djibouti,TR,93,63.45,45.37,95.93,98.86,0,7252
YEM,Yemen,TR,36.65,71.99,37.46,35.01,33.37,0.32,162280
SDN,Sudan,TR,79.5,68.41,40.98,83.51,87.51,0,63012
SAU,Saudi Arabia,TR,100,53.21,78.3,100,100,0.27,190642
ISR,Israel,TR,100,48.25,86.26,100,100,0.09,32
EGY,Egypt,TR,100,60.99,73.36,99.71,99.43,0.05,71940
JOR,Jordan,TR,75.8,40.65,78.96,77.37,78.93,-0.06,97
